TeilnehmerID,Gruppe,RaumlicheGruppe,Pressure,map,place,V,O,G,uncertainty,dec,conf,dec_rt,conf_rt,trial,correct,unc_c,pres_c
OZ_T02,1,1,Control,K8,Arosa,V1,O1,G2,OU,8,5,89,11,1,1,-0.5,-0.5
OZ_T02,1,1,Control,K10,Berguen,V3,O2,G1,OU,7,3,57,3,2,1,-0.5,-0.5
OZ_T02,1,1,Control,K12,Bivio,V4,O1,G1,OU,3,4,55,3,3,0,-0.5,-0.5
OZ_T02,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,5,40,3,4,1,-0.5,-0.5
OZ_T02,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,5,55,5,5,1,-0.5,-0.5
OZ_T02,1,1,Control,K18,Serneus,V1,O2,G1,OU,2,5,20,3,6,0,-0.5,-0.5
OZ_T02,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,7,5,60,6,7,1,-0.5,-0.5
OZ_T02,1,1,Control,K22,Klosters,V2,O2,G2,OU,8,5,60,4,8,1,-0.5,-0.5
OZ_T02,1,1,Control,K24,Arosa,V1,O1,G1,MU,7,5,53,2,9,1,0.5,-0.5
OZ_T02,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,4,84,6,10,1,0.5,-0.5
OZ_T02,1,1,Control,K28,Bivio,V3,O1,G1,MU,3,4,98,3,11,0,0.5,-0.5
OZ_T02,1,1,Control,K30,Churwalden,V2,O1,G2,MU,8,2,121,4,12,1,0.5,-0.5
OZ_T02,1,1,Control,K32,Kloster,V2,O2,G1,MU,8,4,30,4,13,1,0.5,-0.5
OZ_T02,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,8,2,92,3,14,1,0.5,-0.5
OZ_T02,1,1,Control,K36,Serneus,V1,O2,G2,MU,2,2,56,5,15,0,0.5,-0.5
OZ_T02,1,1,Control,K38,Tschiertschen,V3,O1,G1,MU,7,5,58,3,16,1,0.5,-0.5
OZ_T03,1,1,Control,K8,Arosa,V1,O1,G2,OU,8,2,24,8,1,1,-0.5,-0.5
OZ_T03,1,1,Control,K10,Berguen,V3,O2,G1,OU,7,3,19,4,2,1,-0.5,-0.5
OZ_T03,1,1,Control,K12,Bivio,V4,O1,G1,OU,8,4,17,3,3,1,-0.5,-0.5
OZ_T03,1,1,Control,K14,Churwalden,V2,O1,G1,OU,7,4,16,10,4,1,-0.5,-0.5
OZ_T03,1,1,Control,K16,SanBernadino,V4,O2,G2,OU,8,2,19,7,5,1,-0.5,-0.5
OZ_T03,1,1,Control,K18,Serneus,V1,O2,G1,OU,8,4,19,4,6,1,-0.5,-0.5
OZ_T03,1,1,Control,K20,Tschiertschen,V3,O1,G2,OU,7,3,44,3,7,1,-0.5,-0.5
OZ_T03,1,1,Control,K22,Klosters,V2,O2,G2,OU,8,2,34,3,8,1,-0.5,-0.5
OZ_T03,1,1,Control,K24,Arosa,V1,O1,G1,MU,8,3,24,5,9,1,0.5,-0.5
OZ_T03,1,1,Control,K26,Berguen,V3,O2,G2,MU,7,3,22,6,10,1,0.5,-0.5
OZ_T03,1,1,Control,K28,Bivio,V3,O1,G1,MU,8,3,38,3,11,1,0.5,-0.5
OZ_T03,1,1,Control,K30,Churwalden,V2,O1,G2,MU,8,3,20,4,12,1,0.5,-0.5
OZ_T03,1,1,Control,K32,Kloster,V2,O2,G1,MU,8,4,19,3,13,1,0.5,-0.5
OZ_T03,1,1,Control,K34,SanBernadino,V4,O2,G1,MU,8,3,17,4,14,1,0.5,-0.5
OZ_T03,1,1,Control,K36,Serneus,V1,O2,G2,MU,2,3,22,6,15,0,0.5,-0.5
